id,state,area
1,서울,강남
2,서울,강변
3,서울,건대입구
4,서울,구로
5,서울,대학로
6,서울,동대문
7,서울,등촌
8,서울,명동역 씨네라이브러리
9,서울,명동X이진혁
10,서울,목동
11,서울,미아
12,서울,불광
13,서울,상봉
14,서울,성신여대입구
15,서울,송파
16,서울,수유
17,서울,신촌아트레온
18,서울,씨네드쉐프 압구정
19,서울,씨네드쉐프 용산
20,서울,압구정
21,서울,여의도
22,서울,영등포
23,서울,왕십리
24,서울,용산아이파크몰
25,서울,중계
26,서울,천호
27,서울,청담씨네시티
28,서울,피카디리1958
29,서울,하계
30,서울,홍대
31,경기,경기광주
32,경기,광교상현
33,경기,광명철산
34,경기,구리
35,경기,김포
36,경기,김포운양
37,경기,김포풍무
38,경기,김포한강
39,경기,동백
40,경기,동수원
41,경기,동탄
42,경기,동탄역
43,경기,배곧
44,경기,범계
45,경기,부천
46,경기,부천역
47,경기,북수원
48,경기,산본
49,경기,서현
50,경기,소풍
51,경기,수원
52,경기,스타필드시티
53,경기,시흥
54,경기,안산
55,경기,안성
56,경기,야탑
57,경기,역곡
58,경기,오리
59,경기,용인
60,경기,의정부
61,경기,의정부태흥
62,경기,이천
63,경기,일산
64,경기,죽전
65,경기,파주문산
66,경기,판교
67,경기,평촌
68,경기,평택
69,경기,평택소서
70,경기,화성봉담
71,경기,화정
72,인천,계양
73,인천,남주안
74,인천,부평
75,인천,연수역
76,인천,인천
77,인천,인천공항
78,인천,인천논현
79,인천,인천연수
80,인천,주안역
81,인천,청라
82,강원,강릉
83,강원,원주
84,강원,인제
85,강원,춘천
86,강원,춘천명동
87,대전/충청,당진
88,대전/충청,대전
89,대전/충청,대전가수원
90,대전/충청,대전가오
91,대전/충청,대전탄방
92,대전/충청,대전터미널
93,대전/충청,보령
94,대전/충청,서산
95,대전/충청,세종
96,대전/충청,유성노은
97,대전/충청,유성온천
98,대전/충청,천안
99,대전/충청,천안터미널
100,대전/충청,천안펜타포트
101,대전/충청,청주성안길
102,대전/충청,청주율량
103,대전/충청,청주지웰시티
104,대전/충청,청주터미널
105,대전/충청,청주(서문)
106,대전/충청,충북혁신
107,대전/충청,홍성
108,대구,대구
109,대구,대구수성
110,대구,대구스타디움
111,대구,대구아카데미
112,대구,대구월성
113,대구,대구이시아
114,대구,대구칠곡
115,대구,대구한일
116,대구,대구현대
117,부산/울산,남포
118,부산/울산,대연
119,부산/울산,대한
120,부산/울산,동래
121,부산/울산,서면
122,부산/울산,서면삼정타워
123,부산/울산,센텀시티
124,부산/울산,씨네드쉐프 센텀시티
125,부산/울산,아시아드
126,부산/울산,울산삼산
127,부산/울산,울산진장
128,부산/울산,정관
129,부산/울산,하단아트몰링
130,부산/울산,해운대
131,부산/울산,화명
132,경상,거제
133,경상,구미
134,경상,김천율곡
135,경상,김해
136,경상,김해장유
137,경상,마산
138,경상,북포항
139,경상,안동
140,경상,양산물금
141,경상,창원
142,경상,창원더시티
143,경상,통영
144,경상,포항
145,광주/전라/제주,광양
146,광주/전라/제주,광양 엘에프스퀘어
147,광주/전라/제주,광주금남로
148,광주/전라/제주,광주상무
149,광주/전라/제주,광주용봉
150,광주/전라/제주,광주첨단
151,광주/전라/제주,광주충장로
152,광주/전라/제주,광주터미널
153,광주/전라/제주,광주하남
154,광주/전라/제주,군산
155,광주/전라/제주,나주
156,광주/전라/제주,목포
157,광주/전라/제주,목포평화광장
158,광주/전라/제주,서전주
159,광주/전라/제주,순천
160,광주/전라/제주,순천신대
161,광주/전라/제주,여수웅천
162,광주/전라/제주,익산
163,광주/전라/제주,전주고사
164,광주/전라/제주,전주효자
165,광주/전라/제주,정읍
166,광주/전라/제주,제주
167,광주/전라/제주,제주노형